,title,author,publication,date,duration,claps,tags_cleaned
776,"I Don't Understand Straight People, Even Though I'm Married to One",darcy reeder,human parts,4-Jun-19,6,10900,"lgbtq,sexuality,relationships,love-and-sex,identity"
777,Is MCT Oil Good for Health?,markham heid,elemental,30-May-19,4,1800,"health,mct-oil,the-nuance,keto,wellness"
778,Untangling Love Addiction in the Brain,kate green tripp,elemental,30-May-19,5,5400,"addiction,love,brain,science,tech"
779,How to Not Suck at Color,greg gunn,modus,15-May-19,9,6600,"design,graphic-design,visual-design,colors,craft"
780,A Visit to the Land of Happy Old People,nina burleigh,elemental,4-Jun-19,10,4800,"health,mediterranean-diet,food,lifestyle,aging"
781,What SwiftUI Means for Flutter,martin rybak,flutter nyc,4-Jun-19,5,2400,"flutter,ios,swift"
782,It's a Huge Mistake to Memorize Your Passwords,owen williams,onezero,4-Jun-19,7,5400,"security,passwords,services,debugger,digital-life"
783,The Pleasure Scale,jane eaton hamilton,gay mag,4-Jun-19,19,2300,"sexuality,pleasure,women,queer,lgbtq"
784,How Oat Milk Conquered America,zara stone,elemental,3-Jun-19,6,3400,"food,oat-milk,trends,dairy-free,health"
785,Learn Enough React For The Interview,bhargav bachina,bb tutorials & thoughts,22-May-19,19,4800,"javascript,react,software-development,web-development,programming"
786,Regulators Just Put a Target on Apple's Back,will oremus,onezero,4-Jun-19,4,2700,"wwdc,apple,industry,stock-market,facebook"
787,"For a Genius Brain, Focus on How to Think, Instead of What to Think",thomas oppong,personal growth,31-May-19,8,14400,"creativity,philosophy,self,productivity,personal-growth"
788,Why I Switched to Open Source,bob roebling,the startup,2-Jun-19,5,1900,"open-source,culture,programming,software-development,linux"
789,White People Are Broken,katherine fugate,noteworthy - the journal blog,22-Aug-18,7,39000,"white-privilege,racism,white-supremacy,civil-rights,equality"
790,An Overview of Python's Datatable package,parul pandey,towards data science,2-Jun-19,7,3000,"data-science,pandas,big-data,python,h2oai"
791,Half of Americans Are Effectively Poor Now. What The?,umair haque,eudaimonia and co,31-May-19,6,10800,"news,life,leadership,politics,culture"
792,19 Things You Need to Learn to Become an Effective Angular Developer,aphinya dechalert,mad hash*map*,1-Jun-19,10,4000,"javascript,programming,technology,education,web-development"
793,The Quiet of Godlessness,aisha mirza,human parts,28-May-19,5,1700,"islam,lgbtq,religion,soul,eyes"
794,People Love to Ask Why I Converted to Islam,vanessa taylor,human parts,28-May-19,7,1990,"islam,race,equality,religion,soul"
795,New Muslim On the Block,hilal isler,human parts,28-May-19,5,3000,"life,culture,religion,equality,eyes"
796,Top 13 Skills To Become a Rockstar Data Scientist,admond lee,towards data science,31-May-19,10,2000,"data-science,education,programming,jobs,data"
797,How Tech Helped Create a New Erectile Dysfunction Crisis,lux alptraum,onezero,28-May-19,5,1400,"sex,erectile-dysfunction,io,science-and-medicine,industry"
798,Google Can't Figure Out What YouTube Is,eric ravenscraft,onezero,31-May-19,6,2300,"youtube,google,gaming,platform,industry"
799,Top Programming Languages to Learn in 2019,trey huffine,level up coding,20-May-19,10,4900,"programming,web-development,javascript,python,technology"
800,It's Not a Child's Job to Heal Their Wounded Mother,arah iloabugichukwu,human parts,23-May-19,6,11400,"family,parenting,children,abuse,toxic-relationships"
801,Biohackers With Diabetes Are Making Their Own Insulin,dana g smith,elemental,30-May-19,11,7700,"insulin,diabetes,health,biotechnology,science"
802,A Failed Effort to Get Paid for an Open Source Project,avi press,the startup,29-May-19,6,5400,"open-source,software-development,technology,business,programming"
803,How Effective Is YouTube Yoga?,mariana lenharo,elemental,24-May-19,6,2300,"yoga,body,exercise,fitness,youtube"
804,This ID Scanner Company is Collecting Sensitive Data on Millions of Bargoers,susie cagle,onezero,29-May-19,15,2800,"privacy,industry,surveillance,patronscan,data"
805,These So-Called Vices Are Good for Your Health,dr. harry ofgang & erik ofgang,elemental,28-May-19,4,8200,"health,book-excerpts,body,life,vice"
806,I Thought I Was Too Smart to Be Abused,maggie haukka,human parts,14-Aug-18,4,12800,"abuse,relationships,culture,women,heart"
807,The Huawei Sanction Might Just Pop the Tech Bubble,owen williams,onezero,28-May-19,7,7700,"china,huawei,industry,sanctions,debugger"
808,Introducing Mercury OS,jason yuan,ux collective,28-May-19,12,63000,"design,ux,product-design,design-thinking,artificial-intelligence"
809,What Really Happens to AirPods When They Die,will oremus,onezero,28-May-19,10,6600,"airpods,apple,recycling,industry,consumer-tech"
810,10 New Things I Learnt from fast.ai v3,raimi karim,towards data science,26-May-19,14,2700,"towards-data-science,fastai,deep-learning,transfer-learning,hyperparameter-tuning"
811,9 JavaScript Interview Questions,bret cameron,No Publication,16-May-19,12,4600,"javascript,web-development,coding,programming,interview"
812,How NOT to get a $30k bill from Firebase,aphinya dechalert,mad hash*map*,27-May-19,5,4600,"programming,technology,productivity,web-development,firebase"
813,I Tried Keto for a Month and Here's What Happened,piper steele,the startup,21-May-19,10,5600,"weight-loss,health,nutrition,food,diet"
814,10 Simple Rules for the Best Life Ever,john p. weiss,personal growth,24-May-19,7,35000,"life,life-lessons,self-improvement,personal-development,inspiration"
815,The Conversation We Refuse to Have About War and Our Veterans,benjamin sledge,human parts,24-May-19,9,11200,"veterans,war,military,ptsd,mental-health"
816,These Are the 3 Questions About the 'Game of Thrones' Finale That Matter,rob bricken,onezero,24-May-19,7,2300,"game-of-thrones,culture,tv,digital-life,nerd-processor"
817,Can Better Habits and Therapy Replace ADHD Drugs?,markham heid,elemental,23-May-19,5,2100,"adhd,medicine,the-nuance,body,brain"
818,Ian McEwan on His New Novel and Ethics in the Age of A.I.,bryan walsh,onezero,20-May-19,13,2100,"artificial-intelligence,ian-mcewan,machine-learning,industry,future"
819,"Why VPNs Are Suddenly Everywhere, and How to Pick the Best One",owen williams,onezero,20-May-19,8,3600,"vpn,cybersecurity,digital-life,privacy,debugger"
820,Just When You Think You're Past Heartbreak,timothy kreider,human parts,23-May-19,7,5600,"life,relationships,self,heart"
821,The Huawei Disaster Reveals Google's Iron Grip on Android,eric ravenscraft,onezero,23-May-19,6,4300,"android,google,huawei,industry"
822,I Have 15 ideas To Change Your Life. Do you Have 5 Minutes?,darius foroux,the startup,20-May-19,5,38000,"life-lessons,self-improvement,inspiration,psychology,creativity"
823,The Grim Appeal of Diagnosing Yourself on the Internet,caira conner,elemental,20-May-19,9,1700,"health,chronic-illness,body,medicine,healthcare"
824,The Dating Deadline,emily j. smith,human parts,22-May-19,5,6100,"dating,relationships,women,love-and-sex"
825,One Inventor's Race to Manage His Parkinson's Disease With an App,peter andrey smith,onezero,22-May-19,14,4100,"medicine,parkinson-disease,science-and-medicine,digital-life,apps"
826,Sex Toys Are Finally Getting the Update They Deserve,lux alptraum,onezero,21-May-19,5,5800,"sex,sex-toys,io,female-sexuality,consumer-tech"
827,You Need These People In Your Life,john p. weiss,personal growth,17-May-19,7,21000,"self-improvement,personal-development,life,life-lessons,inspiration"
828,Want To Make Millions? Then Act Like a Millionaire.,anthony moore,the startup,18-May-19,7,18900,None
829,Why I think Flutter is the future of mobile app development,eric grandt,freecodecamp.org,20-May-19,6,3600,"mobile-app-development,flutter,dart,programming,technology"
830,The Dark Forest Theory of the Internet,yancey strickler,onezero,20-May-19,6,17800,"privacy,tech,digital-life,internet-culture,liu-cixin"
831,Why I Left the Pro-Life Movement,sarah olson michel,gen,20-May-19,8,10100,"abortion,feminism,womens-rights,politics,religion"
832,The Most Expensive Lesson Of My Life: Details of SIM port hack,sean coonce,coinmonks,20-May-19,6,20000,",security,bitcoin,cryptocurrency,hacks"
833,Why Having a Wedding Makes Sense,more to that,human parts,16-May-19,18,3300,"weddings,relationships,humor,heart,hands"
834,I Don't Want to Hate the Only Body I'll Ever Have,karie fugett,human parts,13-May-19,7,5600,"women,life-lessons,body-image,self-love,body"
835,The Solo Traveler's Guide to Dealing With Loneliness,susie armitage,human parts,14-May-19,7,5700,"travel,self,mental-health,loneliness,experiences"
836,New Apple TV App Finally Kills the Middle Man,lance ulanoff,onezero,13-May-19,6,1000,"apple-tv,streaming,television,industry,apple"
837,Congressional Action to Protect Choice,team warren,No Publication,17-May-19,8,5700,"abortion,warren2020,congress"
838,"30 Years of Depression, Gone",john gorman,human parts,12-May-19,38,45000,"mental-health,psychology,self-improvement,life-lessons,experiences"
839,Why I Quit Therapy,anna dorn,human parts,14-May-19,7,6200,"mental-health,mind,therapy,mindfulness"
840,Good Posture Matters Even More Than You Think,markham heid,elemental,16-May-19,4,5400,"posture,body,the-nuance,gadgets,trends"
841,The most important skill a programmer can learn,huseyin polat yuruk,freecodecamp.org,15-May-19,5,14900,"programming,software-development,coding,tech,productivity"
842,Why AirPods—and Earbuds Like Them—Are Especially Bad for Your Hearing,angela lashbrook,onezero,15-May-19,6,4400,"headphones,airpods,technology,consumer-tech,microprocessing"
843,Anti-Abortion Lawmakers Have No Idea How Women's Bodies Work,jessica valenti,gen,15-May-19,3,26000,"reproductive-rights,womens-health,legislation,jessica-valenti,politics"
844,Fundamental design principles for non-designers,anna 4erepawko mészáros,freecodecamp.org,5-Mar-19,6,8000,"design,ux,ui,tech,graphic-design"
845,Becoming a Level 3.0 Data Scientist,jan zawadzki,towards data science,15-May-19,9,4100,"data-science,artificial-intelligence,towards-data-science,careers,machine-learning"
846,Being a Father With Mental Health Problems Is Terrifying,tim clare,human parts,17-Apr-19,7,1000,"mental-health,creative-writing,fatherhood,mind,heart"
847,The Story My Male Editors Kept Killing,laura kiesel,human parts,13-May-19,7,13300,"media,equality,journalism,hands,identity"
848,Ins and Outs of Flutter Web,nash,flutter community,14-May-19,13,2800,"flutter,flutter-web,dart,programming,web-development"
849,How to Get the Unquantifiable Benefits of Cold Showers,may pang,better humans,14-May-19,10,8600,"self,health,grit,happiness,biohacking"
850,We Don't Need Social Media,colin horgan,onezero,14-May-19,5,20000,"social-media,tech,technology,life,marketing"
851,Why are developers still using Angular?,aphinya dechalert,mad hash*map*,13-May-19,4,49300,"javascript,technology,programming,work,software-development"
852,What the Hell Happened to Daenerys?,rob bricken,onezero,10-May-19,4,2900,"game-of-thrones,nerd-processor,daenerys-targaryen,tv-series,digital-life"
853,The Simple Reason Facebook Can't Be Fixed,mike mallazzo,No Publication,10-May-19,10,2400,"social-media,facebook,tech,privacy"
854,Is Breakfast Really the Most Important Meal of the Day?,robert roy britt,elemental,10-May-19,5,3000,"nutrition,food,life,breakfast,diet"
855,To reinvent the processor,veedrac,No Publication,1-Apr-19,34,984,"computer-science,computers,programming"
856,MIT Scientists prove adults learn language to fluency nearly as well as children,scott chacon,No Publication,4-May-18,9,6300,language
857,How a Painful Childhood Made Me a Better Mom,esther wojcicki,human parts,1-May-19,9,2800,"childhood,parenting,book-excerpts,eyes,hands"
858,11 Remote Workers on the Strategies They Use to Bond With Co-Workers,lisa rabasca roepe,forge,10-May-19,6,1500,"communication,work,work-culture,jobs,remote-work"
859,How Popular is JavaScript in 2019?,eric elliott,javascript scene,11-May-19,5,2800,"javascript,technology,software-development,software-engineering,coding"
860,Introducing TensorFlow Graphics: Computer Graphics Meets Deep Learning,tensorflow,tensorflow,10-May-19,5,3000,"machine-learning,3d,graphics,unsupervised-learning,announcements"
861,Meet the World's Most Bio-Tracked Man,dana g smith,onezero,8-May-19,7,2900,"health,science-and-medicine,personal-health,michael-snyder,life"
862,Tech Events Aren't Fun Anymore,lance ulanoff,onezero,9-May-19,5,2800,"tech,industry,google-io-2019,consumer-tech,ai"
863,The Common Hormonal Disorder Doctors Can't Figure Out,magdalena puniewska,elemental,10-May-19,7,2300,"pcos,body,womens-health,endocrinology,medicine"
864,"What's on Your Home Screen, Farhad Manjoo?",damon beres,onezero,8-Mar-19,6,1300,"apple,iphone,consumer-tech,digital-life,whats-on-your-home-screen"
865,Some awesome modern C++ features that every developer should know,mottakin chowdhury,freecodecamp.org,8-May-19,7,3900,"programming,coding,tech,software-development,technology"
866,"If You Blink, We Go Back to the Start",rb,human parts,17-Apr-19,36,2600,"personal-essay,adolescence,heart,abuse,teens"
867,How Artificial Intelligence Is Tracking Sex Traffickers,liz brody,onezero,8-May-19,19,3300,"human-trafficking,sex-work,industry,artificial-intelligence,machine-learning"
868,Memory & Learning Breakthrough: It Turns Out That The Ancients Were Right,michael simmons,accelerated intelligence,8-May-19,16,9500,"self,learning,education,self-improvement,life-lessons"
869,This Is How Google Will Collapse,daniel colin james,forward tick,25-Apr-17,10,94000,"advertising,marketing,google,startup,business"
870,Baby Weight,laura sievers,human parts,4-May-19,11,6500,"family,women,heart,hands,mothers-day"
871,"Google's Most Interesting I/O Announcements, Ranked",will oremus,onezero,8-May-19,8,2800,"google-io-2019,consumer-tech,google-assistant,industry,artificial-intelligence"
872,Meet the People Trading Their Anti-Anxiety Meds in for Cannabis,ashley laderer,elemental,7-May-19,6,2300,"marijuana,anxiety,brain,mental-health,medicine"
873,How Do Vegans Survive?,aphinya dechalert,elemental,7-May-19,5,3800,"diet,nutrition,food,vegan,trends"
874,"We made $1,052,000 in 2018 selling UI Tools. Here is what we learned.",alexandru paduraru,freecodecamp.org,29-Apr-19,18,4500,"startup,entrepreneurship,web-development,web-design,tech"
875,Why Blockchain is Not the Answer,jimmy song,No Publication,7-May-19,8,6000,"bitcoin,blockchain,ico,technology,economics"
876,"What I learned after writing Clojure for 424 days, straight",shivek khurana,the startup,7-May-19,8,1800,"clojure,javascript"
877,"On Pain, Joy, and Bottom Surgery",emma cameron,human parts,7-May-19,13,3700,"transgender,vaginoplasty,womanhood,lgbtq,body"
878,One-on-ones are my most valuable meetings; here's how I run them,mathilde collin,the startup,3-May-19,5,7000,"management,leadership,startup,founders,careers"
879,The End of App Stores Is Rapidly Approaching,owen williams,onezero,7-May-19,6,12500,"apps,apple,google,consumer-tech,debugger"
880,Will You Choose Alive Time or Dead Time?,ryan holiday,human parts,7-May-19,6,20000,"books,hands,self,productivity,creativity"
881,4 Things I Gave Up To Be Free,darius foroux,the blog of darius foroux,29-Apr-19,5,21000,"life-lessons,self-improvement,business,lifestyle,psychology"
882,How I got control of my spending with a couple no-code services and only 100 lines of Python code,josh peters,the startup,5-May-19,5,1300,"programming,no-code-development,budget,development,startup-lessons"
883,"Want a Happier, More Fulfilling Life? 75-Year Harvard Study Says Focus on This 1 Thing",patrick ewers,better humans,26-Apr-19,9,9200,"self-improvement,relationships,happiness,mindfulness,positive-thinking"
884,The Scientific Truth About Toxins,kate morgan,elemental,2-May-19,5,2200,"health,toxins,body,detox,skin"
885,How to Unlock the Amazing Power of Your Brain and Become a Top Student,"david handel, md",better humans,4-May-19,18,6600,"learning,education,students,college,university"
886,The Avengers Messed Up,rob bricken,onezero,3-May-19,7,3500,"marvel,avengers,film,digital-life,nerd-processor"
887,What Is Ashwagandha?,jeremy glass,elemental,3-May-19,3,2000,"health,trends,traditional-medicine,mental-health,supplements"
888,Extreme Rare Event Classification using Autoencoders in Keras,chitta ranjan,towards data science,4-May-19,10,3500,"machine-learning,deep-learning,classification,towards-data-science"
889,The Tyranny of Convenience,colin horgan,onezero,29-Apr-19,4,6800,"travel,facial-recognition,industry,airport-security,security"
890,Oculus Quest Is VR for Normal People,lance ulanoff,onezero,30-Apr-19,10,1000,"virtual-reality,oculus-quest,the-upgrade,consumer-tech,gadgets"
891,Facebook's Plan to Fuse Its Messaging Apps Is Not About Your Privacy,owen williams,onezero,29-Apr-19,5,3800,"messaging,facebook,industry,social-media,debugger"
892,A Disaster Is Unfolding in Consumer Tech,damon beres,onezero,3-May-19,8,1400,"android,consumer-tech,galaxy-fold,samsung"
893,Why Reading Books Is Important for the Brain,markham heid,elemental,2-May-19,5,15200,"reading,health,cognition,brain,the-nuance"
894,The Rebellion Against China's 996 Culture,james stanier,onezero,2-May-19,9,14700,"china,technology,culture,work,industry"
895,The Meaning Paradox: Is Life About You or Other People?,zat rana,personal growth,25-Apr-19,6,11300,"life,life-lessons,relationships,self-improvement,psychology"
896,Fight the global warming: compile your C# apps ahead of time,michal strehovský,No Publication,2-May-19,12,1000,"programming,aot,dotnet,csharp,compilers"
897,No More New Starts for Grace,grace lavery,gay mag,1-May-19,9,2800,"addiction,alcoholism,mental-health,culture"
898,Your Dirty AirPods Are Grosser Than You Think,angela lashbrook,onezero,1-May-19,7,3600,"airpods,apple,gadgets,consumer-tech,microprocessing"
899,Designer First World Problems,pablo stanley,the design team,1-May-19,3,8200,"design,design-thinking,work,life,humor"
900,Is Angular dying because of React?,aphinya dechalert,mad hash*map*,1-May-19,6,7800,"programming,technology,react,angular,software-development"
901,The Ethical Dilemma of Teaching Kids How the Sausage Gets Made,anastasia basil,human parts,30-Apr-19,10,8100,"parenting,culture,food,environment,family"
902,The McDonaldization of UX,chris kiess,ux collective,30-Apr-19,8,9500,"ux,design,user-experience,careers,ts"
903,Coroutines on Android (part I): Getting the background,sean mcquillan,android developers,30-Apr-19,9,9400,"android,kotlin-coroutines,android-development,kotlin"
904,Why Is the Internet Obsessed With This Cult Toothpaste?,ashwin rodrigues,elemental,29-Apr-19,8,3600,"health,wellness,dental-care,toothpaste,trends"
905,The Complete Guide to Effective Reading,maarten van doorn,No Publication,27-Apr-19,30,20000,"reading,self-improvement,education,psychology,productivity"
906,Angular: Recurring problems I face as a Front-End Consultant,michele stieven,No Publication,27-Apr-19,10,3200,"javascript,angular,angular2,rxjs,tutorial"
907,How I Passed the Google Cloud Professional Data Engineer Certification Exam,daniel bourke,towards data science,27-Apr-19,10,2900,"cloud-computing,google-cloud-platform,data-engineering,machine-learning,towards-data-science"
908,Everything you need to know to master Convolutional Neural Networks,tirmidzi faizal aflahi,freecodecamp.org,27-Apr-19,11,1100,"machine-learning,deep-learning,computer-vision,tech,data-science"
909,The Dawn of the Reliance Economy,jesse weaver,onezero,26-Apr-19,8,11000,"design,technology,ux,artificial-intelligence,digital-life"
910,A Palliative Approach to the End of the World,eric demore,human parts,25-Apr-19,9,4800,"environment,culture,self,photography,hands"
911,Invasion of the Influencers,nathaniel allen,No Publication,26-Apr-19,8,3800,"social-media,psychology,marketing,culture,digital-life"
912,How Big Printer Is Trying to Crush the Counterfeit Ink Trade,lance ulanoff,onezero,25-Apr-19,6,1200,"counterfeit,printing,hp,industry,the-upgrade"
913,What Seven Years at Airbnb Taught Me About Building a Business,lenny rachitsky,marker,2-Apr-19,12,28000,"startup,business,culture,product-management,ux"
914,The Power Of Saying Less,tim denning,the startup,19-Apr-19,7,18500,"life,startup,self-improvement,entrepreneurship,leadership"
915,The CSS Handbook: a handy guide to CSS for developers,flavio copes,freecodecamp.org,24-Apr-19,85,13200,"css,front-end-development,design,tech,ux"
916,You should never ever run directly against Node.js in production. Maybe.,burke holland,freecodecamp.org,22-Apr-19,10,12600,"nodejs,programming,javascript,tech,technology"
917,The Dark Side of Fitness Tracking,caroline cox,elemental,19-Apr-19,5,2800,"wearables,fitness,lifestyle,mental-health,body"
918,"Amazon Has Gone From Neutral Platform to Cutthroat Competitor, Say Open Source Developers",andrew leonard,onezero,24-Apr-19,14,7600,"amazon,aws,cloud,industry,open-source"
919,How to Talk about Yourself in the Best Possible Way,julie zhuo,the year of the looking glass,23-Apr-19,10,4200,"life-lessons,public-speaking,networking,career-advice,self-awareness"
920,UTI Treatment Is in Crisis,dana g smith,elemental,23-Apr-19,7,3100,"health,urinary-tract-infections,antibiotic-resistance,uti,body"
921,How to Listen to Your Anger,annie mueller,human parts,23-Apr-19,9,17100,"psychology,self,relationships,mental-health,mind"
922,"Get to Inbox Zero, Even If You're Terrible at Email",madison malone kircher,forge,26-Nov-18,5,2700,"email,productivity,self,succeed,inbox-zero"
923,The Truth About Finding a Satisfying Career,stephanie buck,forge,22-Jan-19,9,6100,"careers,passion,work,fixed-mindset,succeed"
924,Am I a “real” Software Engineer yet?,sun-li beatteay,freecodecamp.org,18-Apr-19,9,13800,"programming,imposter-syndrome,technology,software-development,web-development"
925,The Exorcisms of Emma,matthew pearl,truly*adventurous,23-Apr-19,32,1500,"christianity,nonfiction,journalism,horror,true-horror"
926,The Price We Pay for Multitasking at Work,david a staab,No Publication,22-Apr-19,8,8700,"productivity,management,leadership,psychology,work"
927,The Enduring Myth of 'Complicated' Female Sexuality,allie volpe,elemental,22-Apr-19,9,7400,"sexuality,women,gender,men,life"
928,Do Americans Know How Much Trouble They're In?,umair haque,eudaimonia and co,4-Jun-18,6,30000,"politics,news,economics,leadership,life"
929,5 Advanced Features of Python and How to Use Them,george seif,towards data science,21-Apr-19,4,2500,"artificial-intelligence,data-science,machine-learning,technology,innovation"
930,In Reality: A New Worldview Just for You,david siegel,No Publication,15-Apr-19,81,1100,"prediction-markets,life-lessons,news,politics,finance,health"
931,Strategies for Self-Care That Really Work,katie fustich,elemental,17-Apr-19,5,5200,"mental-health,self-care,wellness,life,trends"
932,Apple vs. Facebook Enters a New Era,lance ulanoff,onezero,18-Apr-19,6,2500,"advertising,apple,facebook,privacy,industry"
933,36 Amazing Python Open Source Projects (v.2019),mybridge,mybridge for professionals,20-Apr-19,6,4500,"programming,python,data-science,computer-science,software-development"
934,The Human Body Can Heal in Astonishing Ways,jill blakeway,elemental,17-Apr-19,6,4500,"chinese-medicine,alternative-medicine,wellness,healing,life"
935,9 Web Components UI Libraries You Should Know in 2020,jonathan saring,bits and pieces,18-Apr-19,6,7200,"web-development,frontend,javascript,programming,react"
936,TDD Changed My Life,eric elliott,javascript scene,19-Apr-19,9,24000,"javascript,tdd,technology,software-engineering,software-development"
937,The Easier Way to Do Intermittent Fasting,allie volpe,elemental,18-Apr-19,5,3900,"diet,intermittent-fasting,health,food,trends"
938,The Gig Economy's Unhappy Middle Class,james stanier,onezero,12-Apr-19,12,4100,"gig-economy,startup,business,work,industry"
939,How to be a great programmer,amy m haddad,freecodecamp.org,17-Apr-19,5,10400,"programming,learning,productivity,tech,self-improvement"
940,Tinder's move to Kubernetes,tindereng,tinder engineering,17-Apr-19,11,4800,"terraform,kubernetes,docker,aws,microservices"
941,Male and Female Brains Are Different. Should It Matter?,meghan daum,gen,17-Apr-19,9,5200,"gender,sexism,neuroscience,brain,culture"
942,Working Out Is Powerful Brain Training,anna held,elemental,16-Apr-19,4,13100,"mindfulness,exercise,mental-health,brain,body"
943,The Self-Care Paradox,dana g smith,elemental,11-Apr-19,4,3600,"self-care,wellness,women,trends,life"
944,What Do Social Media Breaks Accomplish?,angela lashbrook,onezero,20-Mar-19,7,3300,"social-media,digital-life,microprocessing,technology"
945,The New Anxiety Therapy That's All About Accepting Your Fears,jamie friedlander,elemental,15-Apr-19,6,3300,"mental-health,anxiety,act-therapy,therapy,brain"
946,This Is What Exercise Does to Your Brain,dana g smith,elemental,15-Apr-19,4,13900,"neuroscience,exercise,health,brain,body"
947,How to scale Bitcoin (without changing a thing),nic carter,No Publication,14-Apr-19,27,3300,"bitcoin,cryptocurrency"
948,How I'm Preparing for the Dementia I Believe I'll Get,tia powell,elemental,12-Apr-19,4,5000,"dementia,health,aging,music,brain"
949,A Personal History of Dating Men With 'Potential',nicole peeler,human parts,9-Apr-19,6,8000,"relationships,self,potential,dating,love-and-sex"
950,The Delicate Balance of Human Thought,more to that,human parts,10-Apr-19,12,6800,"self-improvement,mindfulness,philosophy,self,more-to-that"
951,Incognito Mode Won't Keep Your Browsing Private. Do This Instead.,fast company,fast company,12-Apr-19,8,13100,"privacy,cybersecurity,internet,technology,browsers"
952,XGBoost Algorithm: Long May She Reign!,vishal morde,towards data science,8-Apr-19,7,8300,None
953,From Like Buttons to Message Bubbles: The UX Designs You Can't Use,christie tang,onezero,12-Apr-19,16,7200,"ux,design,visual-design,ios-development,android-development"
954,How to avoid these 7 mistakes I made as a Junior Developer,chris blakely,freecodecamp.org,26-Mar-19,7,5600,"technology,careers,software-development,junior-developer,learning-to-code"
955,Why Extreme Wellness Is So Popular,markham heid,elemental,11-Apr-19,8,49400,"health,wellness,fitness,diet,trends"
956,Who Loses When Tech Unicorns Don't Make a Profit?,james stanier,onezero,11-Apr-19,11,10300,"gig-economy,startup,business,technology,work"
957,Scientists Release the First Image of a Massive Black Hole,shannon stirone,onezero,10-Apr-19,4,2900,"space,science-and-medicine,black-holes,astrophysics,galaxy"
958,Reviewing Python Visualization Packages,aaron frederick,towards data science,11-Apr-19,7,889,"data-visualization,data-science,programming"
959,Managing Yourself: How to Calibrate Your Own Strengths and Weaknesses,julie zhuo,better humans,11-Apr-19,13,7000,"imposter-syndrome,management,startup,leadership,self"
960,Productivity Hacks Don't Work When You Have Mental Illness,jenny j. chen,elemental,10-Apr-19,5,6400,"mental-health,productivity,brain,work,life"
961,San Francisco's IPO Panic Is All Hype,clara hogan,the bold italic,10-Apr-19,12,1300,"tech,san-francisco,real-estate,this-just-in,finance"
962,Design patterns in modern JavaScript development,k,level up coding,10-Apr-19,9,7600,"software-development,javascript,design-patterns,angular,software-engineering"
963,The Fat Tax Is Real—and It's Getting Worse,your fat friend,human parts,10-Apr-19,9,4300,"body-positive,feminism,equality,finance,body"
964,Marie Kondo's Daily Routine Is Delightful,jenni gritters,elemental,10-Apr-19,3,5400,"marie-kondo,lifestyle,health,the-health-diaries,life"
965,The Science Behind the Mental Clarity Diet,andrew zaleski,elemental,10-Apr-19,9,6900,"health,biohacking,diet,brain,food"
966,Your Guide to Legit CBD,laura entis,elemental,10-Apr-19,7,2600,"cbd,hemp,health,wellness,trends"
967,How Apple Missed Its Chance to Fix Credit Cards,nick abouzeid,onezero,9-Apr-19,6,4400,"credit-cards,apple,tech,fintech"
968,A Chemists' Guide to Skincare That Works,dana g smith,elemental,10-Apr-19,8,3900,"skincare,beauty,cosmetics,skin,trends"
969,"Mistakes, we've drawn a few",sarah leo,the economist,27-Mar-19,8,10600,"data-visualization,charts,data-journalism,data,journalism"
970,Inside the Biotech Startup That Wants to Extend Your Life,alexandra sifferlin,onezero,9-Apr-19,16,2700,"health,science-and-medicine,longevity,aging,biotechnology"
971,Welcome to the Age of Helplessness,colin horgan,gen,6-Apr-19,9,3700,"politics,culture,cancel-culture,power,algorithms"
972,Why GraphQL is the future of APIs,leonardo maldonado,freecodecamp.org,9-Apr-19,7,11100,"programming,javascript,technology,software-engineering,graphql"
973,Your Smartphone Apps Are Filled With Trackers You Know Nothing About,owen williams,onezero,8-Apr-19,5,5100,"smartphones,google,data-privacy,digital-life,debugger"
974,A RealWorld Comparison of Front-End Frameworks with Benchmarks (2019 update),jacek schae,freecodecamp.org,8-Apr-19,6,8800,"javascript,web-development,software-development,programming,tech"
975,The Psychology of Double Penetration,joe duncan,moments of passion,6-Apr-19,9,3500,"sex,sexuality,relationships,science,health"
976,What Making a Cup Of Tea Taught me about Functional Programming.,sam fare,No Publication,7-Apr-19,5,1500,"functional-programming,software-development,tech,programming,agile"
977,What to Expect in Angular 8,grapecity developer solutions,grapecity,3-Apr-19,8,2100,"javascript,technology,angular,angularjs,web-development"
978,The Complete Beginner's Guide to Machine Learning: Multiple Linear Regression in 4 Lines of Code!,anne bonner,towards data science,6-Apr-19,18,1600,"machine-learning,artificial-intelligence,data-science,technology,towards-data-science"
979,The Third Wave Data Scientist,dominik haitz,towards data science,6-Apr-19,5,3400,"data-science,machine-learning,business,personal-development,communication"
980,Learn the fundamentals of a good developer mindset in 15 minutes,huseyin polat yuruk,freecodecamp.org,6-Apr-19,16,8500,"software-development,programming,tech,coding,self-improvement"
981,The Barely Hidden Flaws in Jordan Peterson's Scholarship,emily pothast,form and resonance,22-Mar-19,13,8800,"religion,jordan-peterson,mythology,psychology,history"
982,You Could Have Today. Instead You Choose Tomorrow.,ryan holiday,human parts,5-Apr-19,6,36000,"life-lessons,work,life,lifestyle"
983,No One Knows How Dangerous Boeing's 737 Max Actually Is,jeff wise,onezero,5-Apr-19,7,5700,"aviation,boeing,air-travel,industry,technology"
984,When Therapists Get Together to Talk About Our Patients,lori gottlieb,elemental,3-Apr-19,11,3600,"mental-health,therapy,book-excerpts,growth,self"
